module,dataset,seed,ap,complete,error,log
four_modules,astyx,2027,26.1866,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_astyx_seed2027_gpu0.log
four_modules,astyx,2028,29.2781,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_astyx_seed2028_gpu0.log
four_modules,astyx,2034,27.9082,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_astyx_seed2034_gpu0.log
four_modules,astyx,2036,25.1863,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_astyx_seed2036_gpu0.log
four_modules,astyx,3407,26.0009,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_astyx_seed3407_gpu0.log
four_modules,kradar,2026,,False,True,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_kradar_seed2026_gpu3.log
four_modules,kradar,2027,,False,True,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_kradar_seed2027_gpu3.log
four_modules,kradar,2028,0.0,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_kradar_seed2028_gpu3.log
four_modules,kradar,2034,0.0,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_kradar_seed2034_gpu3.log
four_modules,kradar,2036,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_kradar_seed2036_gpu3.log
four_modules,kradar,3407,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_kradar_seed3407_gpu3.log
four_modules,truckscenes,2026,20.7654,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_truckscenes_seed2026_gpu1.log
four_modules,truckscenes,2027,19.0293,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_truckscenes_seed2027_gpu1.log
four_modules,truckscenes,2028,17.4191,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_truckscenes_seed2028_gpu1.log
four_modules,truckscenes,2034,14.6124,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_truckscenes_seed2034_gpu1.log
four_modules,truckscenes,2036,17.7353,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_truckscenes_seed2036_gpu1.log
four_modules,truckscenes,3407,15.7794,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_truckscenes_seed3407_gpu1.log
four_modules,v2xradarv,2026,39.3806,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_v2xradarv_seed2026_gpu2.log
four_modules,v2xradarv,2027,45.4485,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_v2xradarv_seed2027_gpu2.log
four_modules,v2xradarv,2028,40.4307,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_v2xradarv_seed2028_gpu2.log
four_modules,v2xradarv,2034,37.2863,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_v2xradarv_seed2034_gpu2.log
four_modules,v2xradarv,2036,37.6426,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_v2xradarv_seed2036_gpu2.log
four_modules,v2xradarv,3407,42.5594,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_v2xradarv_seed3407_gpu2.log
iouaware,astyx,2028,31.5161,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_astyx_seed2028_gpu0.log
iouaware,astyx,5623,31.136,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_astyx_seed5623_gpu0.log
iouaware,astyx,5623,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_astyx_seed5623_gpu3.log
iouaware,kradar,2028,43.7081,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_kradar_seed2028_gpu3.log
iouaware,kradar,5623,49.2835,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_kradar_seed5623_gpu2.log
iouaware_radarreplay,astyx,2028,27.3125,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_radarreplay_astyx_seed2028_gpu0.log
iouaware_radarreplay,kradar,2028,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_radarreplay_kradar_seed2028_gpu3.log
iouaware_radarreplay,truckscenes,2028,13.8836,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_radarreplay_truckscenes_seed2028_gpu1.log
iouaware_radarreplay,v2xradarv,2028,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_radarreplay_v2xradarv_seed2028_gpu2.log
iouaware,truckscenes,2028,16.5672,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_truckscenes_seed2028_gpu1.log
iouaware,truckscenes,5623,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_truckscenes_seed5623_gpu1.log
iouaware,truckscenes,5623,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_truckscenes_seed5623_gpu3.log
iouaware,v2xradarv,2028,40.1231,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_v2xradarv_seed2028_gpu2.log
iouaware,v2xradarv,5623,42.0566,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_v2xradarv_seed5623_gpu1.log
msbc2,astyx,2028,28.4206,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_astyx_seed2028_gpu0.log
msbc2,astyx,2035,28.7944,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_astyx_seed2035_gpu0.log
msbc2,astyx,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_astyx_seed2035_gpu2.log
msbc2,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_kradar_seed2035_gpu0.log
msbc2,kradar,2035,53.9329,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_kradar_seed2035_gpu1.log
msbc2,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_kradar_seed2035_gpu2.log
msbc2,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_kradar_seed2035_gpu3.log
msbc2,truckscenes,2028,10.1921,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_truckscenes_seed2028_gpu1.log
msbc2,truckscenes,2035,17.8727,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_truckscenes_seed2035_gpu1.log
msbc2,v2xradarv,2028,40.0409,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_v2xradarv_seed2028_gpu2.log
msbc2,v2xradarv,2035,42.5441,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc2_v2xradarv_seed2035_gpu2.log
msbc3,astyx,2028,27.0321,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_astyx_seed2028_gpu0.log
msbc3,astyx,2034,27.4669,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_astyx_seed2034_gpu0.log
msbc3,astyx,2035,28.7944,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_astyx_seed2035_gpu0.log
msbc3,kradar,2028,,False,True,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_kradar_seed2028_gpu3.log
msbc3,kradar,2035,53.9329,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_kradar_seed2035_gpu2.log
msbc3,truckscenes,2028,14.3306,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_truckscenes_seed2028_gpu1.log
